,Name,Description,Designator,Quantity,Manufacturer 1,Manufacturer Part Number 1,"Status"
,CGA3E2X7R1H104K080AA,Cap Ceramic 100nF 50V X7R 10% Pad SMD 0603 +125°C Automotive T/R,"C1, C2, C3",3,,,"None"
,GRM188R60J106ME47D,"Chip Multilayer Ceramic Capacitors for General Purpose, 0603, 10uF, X5R, 15%, 20%, 6.3V","C5, C7, C8",3,,,"None"
,GRM188R71H104KA93D,"Chip Capacitor, 0.1 uF, +/- 10%, 50 V, -55 to 125 degC, 0603 (1608 Metric), RoHS, Tape and Reel",C6,1,,,"None"
,SS12,Schottky Diode,"D1, D2, D3, D4",4,,,"None"
,HT7333-1,Integrated Circuit,IC1,1,,,"None"
,22-04-1061,CONN HEADER VERT 6POS 2.5MM,J1,1,,,"None"
,B2B-XH-A(LF)(SN),CONN HEADER VERT 2POS 2.5MM,"J2, J3, J4, J5, J7, J8, J9",7,,,"None"
,53398-0871,CONN HEADER SMD 8POS 1.25MM,J6,1,,,"None"
,SML-D12U8WT86C,LED RED 1608 SMD,"Led1, Led2, Led3, Led4, LED5",5,,,"None"
,SDC1610M5-01,AUDIO MAGNETIC INDICATOR 4-8V TH,LS1,1,,,"None"
,640456-4,"Male Header, Pitch 2.54 mm, 1 x 4 Position, Height 10.03 mm, Tail Length 3.56 mm, RoHS, Bulk","P1, P3",2,,,"None"
,22-28-4033,"Male Header, Pitch 2.54 mm, 1 x 3 Position, Height 8.38 mm, Tail Length 3.18 mm, RoHS, Bulk",P2,1,,,"None"
,SI2302-TP,MOSFET (N-Channel),"Q1, Q2, Q3, Q4",4,,,"None"
,RC0603FR-1010KL,"Chip Resistor, 10 kOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel",R1,1,,,"None"
,RC0603FR-07100RL,,"R2, R3, R4, R5",4,,,"None"
,RC0603JR-071ML,RES SMD 1M OHM 5% 1/10W 0603,R6,1,,,"None"
,RC0603FR-07330RL,"Chip Resistor, 330 Ohm, +/- 1%, 0.1 W, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel",R7,1,,,"None"
,TFCR0603-16W-E-3300BT,Resistor,"R8, R9, R10, R11",4,,,"None"
,CRCW060310K0FKEA,"Chip Resistor, 10 KOhm, +/- 1%, 100 mW, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel","R12, R13, R14, R15",4,,,"None"
,ATmega328P-AU,"8-bit AVR Microcontroller, 32KB Flash, 1KB EEPROM, 2KB SRAM, 32-pin TQFP, Industrial Grade (-40°C to 85°C)",U2,1,,,"None"
,CSTCE16M0V53-R0,"Ceramic Resonator, 16 MHz with Built-in Capacitance, Thickness Expander Mode, Initial Frequency Tolerance +/- 0.5%, Load Capacity 15 pF, -20 to 80 degC, 3.2 x 1.3 x 1 mm SMD, RoHS, Reel",U3,1,,,"None"
